lat,lon
52.0575578,4.3184603
52.0561739,4.3146425
52.088605,4.3532068
52.0851872,4.3386283
52.089956,4.3501438
52.0814238,4.3429731
52.0819476,4.3429334
52.0560845,4.3153518
52.055952,4.3149692
52.0904206,4.3539754
52.0560486,4.3360945
52.055359,4.3342216
52.0553831,4.3340444
52.0552798,4.3331814
52.0496392,4.3339292
52.0492544,4.3333791
52.0796218,4.3229728
52.0794728,4.3183852
52.0798782,4.3171142
52.0795364,4.3165771
52.0794284,4.3199154
52.0797744,4.3166576
52.0791947,4.3197102
52.0791278,4.3171887
52.0790589,4.3172469
52.0798663,4.3165945
52.0800777,4.3164466
52.0801753,4.3185396
52.0805193,4.3182143
52.0774443,4.3170862
52.0802234,4.3163345
52.0791758,4.3207455
52.0804845,4.3177446
52.0796424,4.3217068
52.080099,4.3176372
52.0806796,4.3160067
52.0787126,4.3179863
52.0793855,4.3169135
52.0790232,4.3183818
52.0784528,4.314971
52.0784254,4.3150142
52.0751773,4.3089048
52.0749647,4.3144615
52.0743733,4.31581
52.0746216,4.314784
52.0744481,4.3151821
52.0742252,4.3161512
52.0770652,4.3142147
52.0743727,4.3163771
52.0740979,4.3160299
52.0762848,4.3166735
52.0753528,4.3093998
52.0740562,4.316846
52.0738102,4.3164278
52.0751032,4.3118441
52.0756915,4.3144269
52.0756235,4.3145124
52.0756573,4.3183278
52.0750336,4.3116925
52.0755743,4.3126874
52.0730653,4.3142341
52.0747555,4.3112152
52.076392,4.3145822
52.0764502,4.3145081
52.0755397,4.3171904
52.0759052,4.3123256
52.0755702,4.313047
52.0753242,4.3117042
52.0769423,4.3151105
52.0753177,4.3134699
52.0752372,4.3116737
52.0780604,4.3076788
52.0796989,4.3042686
52.0796254,4.3092481
52.0761194,4.3098453
52.0829977,4.3051442
52.0798436,4.3041086
52.0800473,4.3071287
52.0832161,4.3049011
52.0799872,4.3039393
52.0767826,4.3078914
52.0833656,4.3047454
52.0780688,4.3100862
52.0834409,4.3046612
52.0826477,4.305285
52.0783097,4.3077645
52.076725,4.3079401
52.0808715,4.3087984
52.0830566,4.3048825
52.0773763,4.3105149
52.0784976,4.3106724
52.0790543,4.3073705
52.0836901,4.3045926
52.077617,4.3100803
52.0799978,4.306752
52.0782363,4.3056173
52.0772714,4.3090906
52.076327,4.3084946
52.0796395,4.3098557
52.0791238,4.3071617
52.0786162,4.3060335
52.0762592,4.3085645
52.0792001,4.3070645
52.0775977,4.3084874
52.0787602,4.3060842
52.0787955,4.3060133
52.0773506,4.3080362
52.0778887,4.3070559
52.0768317,4.3079752
52.0761178,4.3089579
52.0787892,4.3056653
52.0797428,4.3065226
52.0801862,4.3074634
52.0783534,4.3103363
52.0782298,4.3102723
52.0788088,4.3096325
52.0794445,4.3053242
52.0832709,4.3042404
52.0782654,4.3071321
52.075923,4.308107
52.0795315,4.304727
52.0790613,4.3051897
52.0761873,4.3097518
52.07971,4.3045073
52.0757087,4.308634
52.0831939,4.3042588
52.0786427,4.3083293
52.0777067,4.3104515
52.0825976,4.3055545
52.0788304,4.3039354
52.0826691,4.3054857
52.0799571,4.3042365
52.0801677,4.3072018
52.0848188,4.3135928
52.0815408,4.3133224
52.0809272,4.3094198
52.0841238,4.3129764
52.0855898,4.3119639
52.0859917,4.3116602
52.0853647,4.3123701
52.082711,4.3085808
52.0819976,4.3134173
52.0864025,4.3121244
52.0861976,4.3111466
52.0841547,4.3139606
52.0828058,4.3147375
52.077566,4.3057076
52.0738078,4.3268017
52.0756211,4.3191507
52.0741821,4.3225272
52.0736223,4.3235213
52.0758042,4.3187296
52.073672,4.3191546
52.0699089,4.320567
52.0698531,4.3204388
52.0729526,4.3190008
52.0681491,4.3012125
52.0671187,4.3110918
52.0668307,4.2981395
52.0666624,4.29942
52.0671892,4.2986308
